keyword,location,text
chemical%20emergency,"MD, CO, KY",Emergency sirens are located around in the highly unlikely event of a chemical #incident. When the… https://t.co/nFaPq9aa5D
arson,"gehenna, probably",that's right im rdg caste heaven.... surprised no one's thought of arson
drowning,Tunisia,"If you might be wondering, I didn't discover BTS with a music video. it's from an article in kboo in 2014 and my 13 yo as$ c…"
weapon,Drinking tea somewhere x,"Always feel so much more motivated and ready for the day when I put a bit of eye makeup on, it’s like my secret weapon 👻"
suicide%20bomb,"Rawalpindi, Pakistan",Last 3 weeks main 3 bomb &amp; suicide attacks howay street crime main 100… https://t.co/8S9dM1emH9
flooding,Spain,VENICE RUNS DRY: Gondolas stranded in mud just two months after severe flooding #venice #gondolas #flooding… https://t.co/TkS4Tk21xi
snowstorm,Washington,Some stills from last night’s snowstorm: ❄️ https://t.co/xE7OGrBdVQ
smoke,"California, USA","I’m not gonna smoke till this weekend, will I make it?!"
engulfed,Warwick England,To all out there .........What's the latest #Jokhang Temple fire Engulfed in flames two years ago on 17 February 2018 since then nothing
derailed,,Exposed #derailed
casualty,"Long Beach, CA","“It’s a paradox we call reality, so keepin it real will make you a casualty of abnormal normality”"
massacre,Mumbai,Why fake Historian n Failed journalist are becoming euphoric? must have sp… https://t.co/kX3T4QA8TC
blazing,South Africa,Pauli just got her advance payment from her handlers so she had to come out guns blazing. It is after all…
collide,"Geneva, Switzerland",Several injured as trains collide on Naples metro https://t.co/3kAYBbrlyc https://t.co/iwqr17lJBe
collided,,Three people were taken to hospital after two cars collided in Surfers Paradise. https://t.co/tIEQ9K5sus #7NEWS https:/…
buildings%20burning,Northern Virginia,"Is it a case of do as I say, not as I do? TV station shows two pictures of Detroit Fire Department's top brass posi… https://t.co/CPQGDH4V0h"
blight,"Brunswick County, NC","Somewhat related, this just popped up in my feed. I guess I know who I'm unfollowing now. Critical Role is a fucki… https://t.co/QGXRUMWQTn"
military,,"Video of the Central Military District's 119th Missile Brigade with Iskander-M, Pantsir-S1 crews, motor rifle troops, and the…"
obliterated,"Webster, Texas","Needless to say, I was late for work that day, and you want to talk about pride???? Obliterated, and now I live in Houston."
nuclear%20disaster,USA,A nuclear attack would most likely target one of these 6 US cities — but experts say none of them are prepared https://t.co/uytGAMdxKd
accident,"Phoenix, AZ 85017",An auto accident injury can set a process in motion that can get complicated. Find out how long it takes to settle… https://t.co/GQp5tv03dF
bloody,Pocket DimensionX,"😂😂😂😂 You're the Best Djoko, more wins for you this year!"
hellfire,,"🤢 my heart rate and blood pressure just rose reading this. The condescending, authorit… https://t.co/CbduJGoKMi"
fatalities,"Ruiru, Kenya",That's not a crush...thats a tragic accident and there will be fatalities
evacuate,"Silang, Cavite Philippines","If you are in need of a place to evacuate to in Batangas, or know of someone who does, we have a place for you. Please c…"
chemical%20emergency,"Scranton, The Electric City",😳 A similar $1.5 million emergency chemical clean up took place two years ago. https://t.co/U6SJrVAf1M
fear,"King's Lynn, England",Unspoken hierarchy is an insightful phrase. I think we need to improve our abilities to name abusive… https://t.co/Zz3jLo1E1u
sunk,Between the pages,"The sun dropped. The promise of warmth sunk, leaving gold and pink rays glancing off mountaintops and spreading as one over…"
curfew,"Oxford, England","Curfew has ended, praise be!"
burning,London,sounds like someone is burning their tea
bombing,,And isn’t it a strange coincidence that the people who support… https://t.co/lxCXpccpRp
traumatised,2yuwinjeno♡fla,poor taeil loons traumatised v https://t.co/zS4HGn3KUl
lightning,Nigeria,Bum with lightning ollova my TL
suicide%20bombing,,Sorry. Trump is NOT to blame because a complete moron controlled a deadly weapons system. Anyone who th… https://t.co/CBC3cpwiEa
attack,Lao P.D.R,me having an anxiety attack trying to look normal so that nobody notices.
death,,There should be death punishment for drug smuggling in India
engulfed,arkham asylum,They will tell stories of it in there Wallaby culture &amp; long after humans are gone and the Wallaby ppl rule the…
mass%20murder,"Manhattan, NY","Join us to commemorate UN Holocaust Remembrance Day on 29 January at 7pm. Guest speaker, Omer Bartov will give a lecture…"
floods,Tír nAill,Then told them they were all privileged idiots who cared more for their hobby than community safety. That the area… https://t.co/b8JLniR7lL
natural%20disaster,"Bangkok, Thailand","To the fan's post, #BTSV took some time to write a sincere comment, showing his deepest concern over the natural disast…"
apocalypse,Illinois,I am going to his place when the zombie apocalypse happens.
riot,Aryavrata,We? Hindus didnt riot on the streets against providing citizenship to persecuted minorities of Pak a… https://t.co/inUv0F0VIo
demolish,,Yes let's all build a Lego OT while the Glazers demolish the real one. #GlazersOut https://t.co/FOwjhj2ZLG
chemical%20emergency,Victoria,Chemical Hazard - Advice for Cobram. For more info: https://t.co/S4XhnXRscO #vichazmat
mudslide,"South Carolina, USA","Joe Rogan Goes On Carnivore Diet, Suffers Explosive Diarrhea - 'A Rainforest Mudslide Overtaking A Mountain Road' https://t.co/XdueBvqIBS"
screams,,SCREAMS
loud%20bang,,"I don't know sir, but I did hear a pretty loud bang coming from somewhere in the woods."
storm,"Brighton, European Union🇪🇺","How bookies' pens end up in the sea - dropped outside shops in towns and cities, washed into storm drains, into rivers,…"
hostage,,This is the Brazilian senator who was the creator of the law of abuse of authority in which he protects ba…
earthquake,Chile,Temblor: mb 4.5 SOUTHEAST OF EASTER ISLAND: Magnitude mb 4.5 Region SOUTHEAST OF EASTER ISLAND Date time 2020… https://t.co/LMmKlDi1Bz
casualty,"South Petherton, England","Energetic and Comedic Redhead Teen, just seen on #Casualty Playing age 12-15, Northern and American Accents, worked wi…"
blight,,"Regardless of the end result of the Impeachment trial, we must VOTE HIM OUT in November. Besides ridding ourselves… https://t.co/Xg6sp3gVAP"
bridge%20collapse,,"in Maharashtra, at Bambhori (Jalgaon dist) on NH6, the bridge on River Girna, n…"
hijack,,ISIS terror plot averted. TIMES NOW unmasks a sinister terror plot hatched by a module of 20 Islamist radicals to ‘hijack’ t…
burning,"Limerick, Ireland","Proud day for the Limerick parish seeing this record get released, album of the year contender and it's only January....th…"
thunderstorm,"New Delhi, India",Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th… https://t.co/8YXmtEgJuh
inundated,,Inundated #strathspey ⁦⁩ ⁦⁩ https://t.co/G0bL7SGuWO
famine,"West London, England","The Highland Clearances weren't mentioned when I was at school (in England), but the (Great) Irish… https://t.co/Rw47dvh60F"
army,,Weverse Official A Special Gift for ARMY from BTS JIMIN https://t.co/xqoLlqUUtE
attacked,"Alaska, USA",How do you snowflake- Trump hating idiots feel about Iran’s evil regime now? Last week you loved them! We aren’t against t…
trouble,"Ngunnawal Country, Canberra","Women are such trouble makers, demanding justice for rape and assault when they should be considering who will open doors fo…"
violent%20storm,"Angeles City, Central Luzon","When the storm is out On the ocean And the violent wind Get’s to blowing Oh take me back, back All the way back Oh… https://t.co/kgLIqmk7Id"
casualties,Las Pinas City,Oh no! 🥺 Praying that there’s no casualties. https://t.co/DvUUxArmMq
war%20zone,,The only pisser this time around was Trump! The plane that Ukraine flew was actually a Russian missile plan… https://t.co/nNm4uRGvwD
nuclear%20reactor,Earth,Is anyone paying attention to this? I wonder if there is any connection with the Ontario - Nuclear Reactor site war… https://t.co/yNNw4eutGO
nuclear%20disaster,"Heart of Texas, United States",They don't want America to know what an unmitigating disaster the Iran payola deal was. P… https://t.co/GsDxVRG1kV
buildings%20on%20fire,,That’s an epic fail too😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂 he will win in 2020… https://t.co/uiJ4p3CHnW
obliterated,,cars are crucial to the American psyche not because they represent individual freedom but because they flatter our deat…
quarantine,"California, USA","Wolverine Quarantine is OP, please nerf! kappa Lost the right arm getting stuck on terrain and was force… https://t.co/Xbh64wjbPr"
bleeding,"Uppsala, Sverige",We saw more reports of women who had increased menstruational bleeding… https://t.co/wRW0zEyEYp
crush,"Kalimantan Selatan, Indonesia",When your crush passes by https://t.co/RrA250Cm9i
hijacking,,(why sounding. idk. i saw him hijacking 01's zetsumerise key with that lance-syringe and all I could think about wa… https://t.co/NHBKUs9T7h
burning,"Kuala Lumpur City, Kuala Lumpu","amazon, australia and california is burning. indonesia is sinking and many people died. the ice are melting. oceans are cont…"
war%20zone,,The Air Force's B-52H bomber force has said goodbye to its nuclear bombs: https://t.co/zvFpImHOPU
weapon,"Κεντρική Μακεδονία, Ελλάς",#BorisJohnson &amp; #Erdogan agreed that #Iran should not acquire #nuclear weapons. Q is: did they discuss whether #Turkey s…
rubble,Lokshin,"One day, when you sit amongst the ruins and rubble of SA; with EFF warlord… https://t.co/A91UZrXOQl"
rescuers,"Pennsylvania, USA",why is there a live action CATS but no live action movie of The Rescuers Down Under i would like answers
refugees,Gold Coast Australia,Strict character test used to deport thousands from Australia doesn’t apply to refugees: Court https://t.co/7FnSNMJb0F…
military,,CAN'T GET Enough of This... Full Video of Our &amp; Walking Out On To The Field To Join The Military Escort…
obliterate,The 208,"The final AP poll is so screwy. Apparently, 1) 12-2 Boise State (23) didn't beat 11-2 Air Force (22). Florida (6) lost to L…"
collapsed,,Your country is in turmoil. The economy collapsed. The people are rebelling. He had gathered african count… https://t.co/ux9FeNE6zY
demolish,"Pretoria, South Africa 🇿🇦",Demolish that house
typhoon,"Aalborg, Denmark",There is no information besides the rumours. That's the joke ☹
demolish,Hinckley & Bosworth,Time to demolish Bercow-backed shanty town outside Parliament https://t.co/Kr92n3YZdJ
blew%20up,,‘Ghoonghat mukt Jaipur’ is secular ‘Burqa mukt Jaipur’ will be communal No one blew themselves up with ghoonghat .. just…
storm,"Sussex, UK",Daft dog wanting to go out in a storm?! 🙄🙄🙄 All warm and dry now 😊😊😊 Freddie ❤ #Ready4Freddie https://t.co/7yYZUfOgG1
battle,Earth,Thankfully I’m able to connect with individuals outside of our own echo chambers...so I’ll wait for the #AMR commun… https://t.co/7M1Ttpwiy0
military,"Baghdad, Iraq",RTStateDept: RT SecPompeo: Economic pressure. Diplomatic isolation. Military deterrence. These are the pillars of t… https://t.co/MwqNxmYUan
outbreak,"Manchester, England","Never-before-seen virus in China outbreak kills one, spreads to Thailand https://t.co/LjKIncs0YA #tech"
drowning,"New York, NY","Hey, Twitter, Bot here. When is Saudi Arabia drowning?"
bleeding,Guantanamo Bay,Imagine supporting Biden Fucking Biden The little girl… https://t.co/kziJbCoZAL
detonate,"Nottingham, England",remember seeing you at detonate in Nottingham years ago and thinking this dudes on 🔥 then you have made so… https://t.co/OAL5eqKKzq
fear,Brexit,Here’s something that lots of people know but few people dare say for fear of being falsely branded antisemitic Much - no…
battle,,21746240 :Battle ID I need backup! Lvl 120 Hector https://t.co/NWpPVrl42T
casualties,"New Delhi, India",Delhi: Fire breaks out at footwear factory https://t.co/PGmJ7UhCqG #delhi #newdelhi
blight,Cape Town,No craftable heals or Barrel Bombs on hand? Nullberries are pretty good against how much blight seems… https://t.co/afaqWQU91S
sirens,,*tornado sirens going off* my dad: *opens back door* let me see how bad it really is
rubble,,At least 56 people dead in #Pakistani administered #Kashmir #NeelumValley after avalanches hit scores of houses. Au… https://t.co/LB4Gc6eT9f
stretcher,,Chicken shit he will get laid out stretcher time
forest%20fires,,It is terrible news what we see on TV every day about those forest fires. Terrible for all those peopl… https://t.co/vx2jaFBXCW
sandstorm,,Going from mocap suits and green screens to epic battle scenes truly takes a village. And what a great village it is! Cong…
crashed,"BC, Canada",-SHSN +BLSN and very strong outflow winds Sumas Prairie .. very icy from Hope to just east Abbotsford. Very squirrely danger…
airplane%20accident,"Saskatchewan, Canada","No, I was referring to the shooting down of the airplane. I… https://t.co/xKVqRdtjhR"
wounded,,Transforming from a wounded woman to a sacred woman. ✨
bloody,"Belfast, Northern Ireland",Most underrated album!! Bloody outstanding!! https://t.co/NPQjObW1kv
collide,"Chicago, Illinois, USA","""It is stomach-churning"": Progressives' dread rises as Warren and Sanders collide https://t.co/Kc9L5VCtkJ https://t.co/1lH…"
wounded,,Welcome to d BJPee's New India! Isn't it similar to d rape victim…
trauma,,All because companies put pressure on you to come in as you will loose your job - which I get - but when your facin… https://t.co/Ih3Rba9fJP
casualties,"London, England",Innocent civilians are the main casualties of conflict. And a potential US-Iran war hasn’t even started yet. Imagine wh…
collided,"Moe's Tavern, Springfield",Homer is driving drunk😱 and has collided with a middle finger 🖕🏼
arson,Milkyway Galaxy,190 people arrested for arson!
military,Kushville💀,Careers were wasted during a 3 years military regime 😭 https://t.co/r5G8mTeePw
danger,NYC,"IMPEACH. So Trump has admitted he killed Iranian General Soleimani in violation of the war powers act, &amp; months ago he decide…"
catastrophe,,Interviewer: Where do you see yourself in ten years? Me: Scavenging for food in the climate catastrophe ravaged wastelan…
wounded,Somewhere vaguely near you,"Vitriol many indy supporters have for Labour partly stems from how some senior politicians spoke in 2014 campaign: ""viru…"
crushed,,"I know I’m getting my period because I craved and ate Special K cereal with bananas, honey and crushed cookies insi… https://t.co/a9rSGAvEgS"
eyewitness,,I’m going to start watching eyewitness news now 😂😂🤣😂 https://t.co/VAyrdlTJeM
fear,"Dubai, UAE",You think that’s bad? Sometimes I put 2 to show excitement and I fear the person on the other end thinks I’m needy
demolished,,#MyReport | Maradu's Holy Faith H20 and Alfa Serene apartments were demolished on 11 January. CJ stayed b… https://t.co/s8CO1o4TUK
wounds,in yoonbin heart,yoonbin said no one’s doing it like me and 2020 is my year #Ben_Wounds https://t.co/llwTsCzdDP
trapped,,"Lately, right now I feel like it's all over 'Cause I've been trapped inside my head for so long I'm sorry, I should… https://t.co/ptF4NQSJrX"
collided,,"In the early hours of Aug. 21, 2017, the USS John S. McCain took an unexpected left turn &amp; collided with a tanker. 10 sailo…"
desolation,Rock Planet,Musician or band contact us https://t.co/NKsqkdxHTE Don't stop the music on #tiorr2 Behind The Eyes by Dying Desola… https://t.co/5Lto4YzJ7E
military,,Check out what I found. JAPAN WWII Military Wuhu Wharf picture postcard CENTRAL CHINA WW2 https://t.co/esY288oxKc via
bloody,,"AHHHHHH, SHHHHHIT! I BLOODY HATE FROZEN!"
damage,,"if they choose not to leave EU at all, it caused irreparable damage to public trust"
wounds,,"yoonbin’s back with his english rap lyrics, a trendy rapper and english master indeed 😍💎 stream the mv: https://t.co/t…"
flood,"Wake County, North Carolina",Donald Trump told Ingraham that CEOs want only a small no. of extraordinary foreign graduates. But fedl. data shows that…
disaster,"Taichung City, Taiwan",HELP THE ANIMALS OF TAAL❤️ The animals around Taal volcano need your help. After yesterday’s assessment by the PAWS D…
famine,,Ireland and Iran share a common link. Both countries suffered a great famine. Both countries occupied by Britain. In b…
mass%20murder,"Current mission: support health care Units in Middle East, Africa and South East Asia.","Do not repeat this: Iran mass murder. Thousands dead, vanished: organizer. https://t.co/yMlJWGF9Dt"
pandemonium,"Tampa, FL",It’s pandemonium in NOLA https://t.co/9MX2Z7oukh
oil%20spill,Cambodia,"Who were the owners of the sunken ship? #gina how much oil did it spill, how much maintenance did they not exercise?"
collapsed,"New Delhi, India","Govt is taking populist measures in the name of #digitalindia. For instance, digital locker facility is useless if gov…"
body%20bag,,First I'll body bag your Fox
drowned,,heartfelt thank you to everyone who drowned him out! you people rock! thank you so…
derail,,"Without the right cover, death, disability or critical illness can derail your families finances. Your coverage needs chang…"
fatality,Queenslander,Because 'it's tradition'... Yeah...so was settling an argument at 10 paces...we moved on from tha… https://t.co/D51AXHoHqF
wounds,World,"Taehyungs voice is so beautiful, but what's more admirable is how he can hits you in your heart. His voice can make you…"
derailment,,"Hi there, a freight train has experienced a low speed derailment in the Hitchin area which is causing some delays.…"
radiation%20emergency,Texas,Emergency beer and bottle of vodka (in case of radiation exposure) also imo 2 tourniquets in case of… https://t.co/6wv092w4hn
war%20zone,,Madrid twitter vs Barca twitter war zone like it's 2015 all over again ffsssss so good
blight,Outer Rim,"""It's a blight on the neighborhood! And that broken door is the cherry on the top of the shit sandwich!"" ""What kin… https://t.co/sOkiTA1EvH"
disaster,,CHRISTIANS: this verse in the old testament says X JEWS: It doesn't say that CHRISTIAN: maybe. Who knows? JEWS: we do. Th…
drowned,"Bushey, Hertfordshire, England",#52Ancestors #52Documents week 2. Scottish death certificates give so much more information than their English/Wels… https://t.co/fANWYvC15A
annihilated,"Ottawa, Ontario, Canada",Piers Morgan Annihilated With Simple Logic | Vegan Advocacy https://t.co/rClWbc7F9l
riot,,How the Hindu man's crisis of masculinity fuels Hindutva Narendra Modi was at the right riot at the right time to… https://t.co/SZZBorxvFV
survivors,"Khanpur, Pakistan",How many days will it be to appeal to those who regularly regulate the Department of Water Management's contract employees…
smoke,Sydney,"Wildfire smoke to circle planet and return to Australia, Nasa says https://t.co/iTHv7pYH1I https://t.co/exx57uZ1Ol"
buildings%20on%20fire,San Francisco,If 1 fire (4 buildings) knocks out to power to thousands what would a purposeful attack on the power grid do? Maybe… https://t.co/u8BWaYrDZw
body%20bag,"Nairobi, Kenya","The body of a 10-year old girl who was reported missing from their Kayole home, Nairobi in September last year was… https://t.co/nTaxEXKqgY"
sunk,,"How low have you sunk Alice, just clickbait for Rupert. Sad."
battle,"Wien,Niederösterreich,Mallorca","Ireland, 1014 AD. High King Brian Boru survives the Battle of Clontarf and establishes an enduring royal dynasty. The cu…"
deluge,,A sudden deluge of rain could fall in bushfire-ravaged parts of New South Wales this weekend. https://t.co/5FjxKKZ3nN #NSW…
crush,WEST AFRICA - GHANA,"BOSS IT UP .... We Never run,We Never run Because know we are the real Boss We never rush,we never crush Becaus… https://t.co/tzLcl79Fev"
lava,MichaelJosephMiller@email.com,"A volcano near the Philippine capital is spewing lava, ash and steam and trembling constantly on the third day of a… https://t.co/hgnO5eP24K"
survivors,97654 Bastheim,"Hi, everyone❗️Here's how you can help the survivors of the Taal Volcano Eruption. Proceeds will go straight to the famili…"
survive,,"To be honest I do not see that happening. Already the same old memes, the same going round…"
bioterror,"Toronto, Canada",Does the push for mass vaccination point toward a staged bioterror event? « Jon Rappoport https://t.co/qCTxok8cjU… https://t.co/HuHP6mrgjN
screamed,Hell,"If the DSP had a *Kashmiri Muslim* name, Arnab, Navika, Sudhir &amp; Co WOULD have screamed and split their TV screens into at…"
derail,"Texas, USA, World, Universe",A subtle design feature of the AR-15 rifle has raised a technical legal question that is derailing cases against people…
battle,,"Neraya, Captain of the Selkie Guard - courageous - battle ready - resilient - kept getting mown down in the middl… https://t.co/t0sQ0i8hWa"
traumatised,,"I'm off to the Library to return my overdue books, (ooh err!), before Storm Brendan drops by for most of the day. I… https://t.co/OKAPbQgFbW"
trouble,Region Quad Axel,xiao zhan had trouble removing his robes in the xuanwu cave scene BSJDKKD https://t.co/ZspjoiweYI
arson,"Kolkota, West Bengal","Violence, arson across West Bengal as strikers try to enforce bandh; 55 arrested in Kolkata - Times of India… https://t.co/bIMdUMDstT"
drowned,uganda,A country that was once respected and apparently drowned by corruption and people with self interests.
hellfire,,"C'mon Izzy, enough with the Hellfire, surely it's time for the locust plague or a good infestation of boils. https://t.co/PWcW8rW9c4"
debris,male,Birds usually confuse shreds of plastic bags for food and end up eating the toxic debris. #ZeroPlasticRun #IamRespons…
fear,Lebanon,When all I want is for you to see The side that I don't show to anyone in fear that they may turn and run
hailstorm,,If Shakira doesn’t perform Ojos Asi at the Super Bowl https://t.co/pJ4kKszomc
obliteration,"Dromosphere, USA",Well... we all have to decide where we determine the system is no longer viable and needs obliterati… https://t.co/CRGP2WnOwH
traumatised,UK,She would be traumatised if no one mentioned her trousers FFS !
hail,Western Hemisphere,Moan your hail marys in the confessional while you masturbate #WeirdWaysToShowYourLove
suicide%20bombing,Romania/Bulgaria,Islamic State have claimed responsibility for a suicide bombing in a Pakistan mosque which killed 15 people. https://t.co/…
typhoon,,"My coverage of the start of the #HXChallenge last week, with the first platform up for claims validation by…"
thunderstorm,"New Delhi, India",Isolated to scattered rain/thunderstorm over Punjab during 15th-17th; over Madhya Pradesh and Rajasthan during 15th… https://t.co/HBfKMgRKSk
damage,Oakham,"Do you recognise these men? Police would like to speak to them following a report of criminal damage on the A6006, headi…"
blight,West Midlands UK,Low traffic neighbourhoods - way ahead to save our local streets from the blight of pollution and noise. #Safer streets ar…
flames,"New Delhi, India",It is rumored that #Flames music video will be out soon..we know wat soon means wen its bout zayn 🤣🤣🤦‍♂️ Meanwhile vote…
drowning,,A drowning man usually stirs up water.
cyclone,"Rockhampton, Queensland","The Monsoon Trough 🌧️ has moved over the Coral Sea, with #Fiji keeping an eye on a Tropical Low near #Vanuatu which may develo…"
demolished,"Port Elizabeth, South Africa",Where I previously worked there used to be designated smoking areas but they demolished… https://t.co/wOKUZ76nr4
forest%20fire,"Lagos, Nigeria",It was a crazy weekend here in Virginia. Very high winds and a large forest fire close to our house. Thankfully the rain…
wreck,Somewhere In the World,Dem wan just wreck person for this country 🤕
stretcher,"Shreveport, LA",NO STRETCHER NO TARGETING
bombed,,NATO...Bombed...Libya...Statehood...Russia...Foreign...Minister...Lavrov...confirm...Libyan...National...Army...LNA… https://t.co/Ow64MGzocH
wreckage,,Iran plane crash wreckage spotted from space (satellite photos) https://t.co/BVC32mcUKD
desolate,"Las Vegas, NV",This theory would also explain why we suddenly see taehyung on april 11th in the epilogue instead of jin. alternat… https://t.co/GqIGDCDg13
injured,Iran occupied,🔴Warning Repressive forces of the Islamic Republic have fired on Iranian protesters. Local sources say 7 people were…
nuclear%20disaster,Pilipinas,"Philippines lifts restrictions on importing food from Fukushima, Japan, site of 2011 nuclear disaster. https://t.co/uxE4Gk…"
ruin,"Planet Earth, Near Heaven",Don't let's your insecurities ruin you.
derail,"Kansas City, Mo.",A subtle design feature of the AR-15 rifle has raised a technical legal question that is derailing cases against pe… https://t.co/aFNwceiIBB
flooding,Weener,Hobi really flooding my thoughts rn..
desolation,Canberra,"""But when ye shall see the abomination of desolation, spoken of by Daniel the prophet, standing where it ought not, (let…"
army,,ARMY detectives found out that BigHit created a website for #CONNECT_BTS but it is not yet confimed. The link to the webs…
massacre,,"Assad &amp; his corrupt regime ruled Syria for more than 50 years. If you think that if he is gone, all the different ethnic…"
drowned,sweden,Have you seen this nightmare before? 11 #Syrian immigrants including 8 children drowned while fleeing the hell in #Idlib on li…
fatalities,"Los Angeles, CA","A family’s nightmare! Recently, I’ve heard far too many stories of similar fatalities at USC. But for the grace...."
deluge,Twitter.com,"Since the officials have clearly decided they're all in on the Caps tonight, Brind'Amour should just get tossed. Tort…"
derailment,UK,"Hi Lisa, I'm very sorry about this, a freight train has experienced a low speed derailment at Hitchin… https://t.co/LvGosPsrUj"
blood,,"Very bad night, have to go for a blood test which has relocated to beside the entrance to psych ward I was on. Fill… https://t.co/rE8fi92Ijc"
emergency%20services,"Brighton, UK",A26 north of earwig corner lewes rtc reported road blocked bothways emergency services on scene …
blazing,"mxtx, roubao, priest","""A bunch of flower within my heart blooms toward the blazing sun its fragrance is sweeter than any fine wine scarecrow drownin…"
chemical%20emergency,The great server in the sky,"January 10, 2014 ""West Virginia Declares State Of Emergency After Coal Chemical Contaminates Drinking Water""… https://t.co/Rbn6snA9d2"
burned,,Giving birth is the second most painful thing a human can experience The first is being burned alive Respect Women 🙏…
collided,"Moe's Tavern, Springfield",Homer is driving drunk😱 and has collided with a woman swimming 🏊🏻‍♀️
emergency,Karachi,Is this your constituency? What is the status of this emergency in #NeelumValley #AJK - is the #Pakis…
drought,,"TWICE DROUGHT IT IS, HERE’S POCARI SWEAT FOR US ALL https://t.co/dUhI3twzAq"
tornado,,"Im sorry if Bernie Sanders would have mistaken the name of a black woman for a famous singer,… https://t.co/R1P3u2AV5A"
windstorm,,"Rain and high-elevation snow showers can continue across northern Scotland on Wednesday; otherwise, a brief break in the p…"
loud%20bang,Middle of Some Calibrations,"Cleaning the kitchen, dancing around &amp; just being generally silly with my siblings, when suddenly we hear a loud ba… https://t.co/SrWJjFXnQE"
storm,Los Angeles,I was wondering in Zak Storm season 2 would we get to explore new environments and if we wou… https://t.co/TOUkZdlLDE
blew%20up,,"1975 was my 9/11 -- that's when radical terrorists blew up my home, putting me in the hospital. For the next 7 years, I l…"
buildings%20on%20fire,New Jersey,"Following last night's seven-alarm fire in downtown Bound Brook, citizens face power outages, road closures and sch… https://t.co/1llyVlN0iJ"
body%20bags,,Classic Plaid Shoulder Bags/Cross-body Bags/Messenger Bags Shop here https://t.co/w93OTdFal8 #bracelets #bangles https://t.co/Cn7G5VPEeJ
casualty,"Wellington, NZ",Years ago I nearly was a casualty of cancel culture. Some NZ tweeters had been piling on me on &amp; off for a long tim… https://t.co/y1k7JeAIw8
mudslide,"Central Coast, California",Crews are planning to build a bridge for cyclists and pedestrians near the trail. https://t.co/oOtt3OldDq
nuclear%20reactor,xʷməθkʷəy̓əm,Sitting here thinking about the time my grandfather wrote a book on nuclear reactor safety and then blurbed himself… https://t.co/KVX3azx4NC
volcano,at my limit,Some parts of the Philippines are affected by ash fall due to the eruption of Taal Volcano. We are knocking on your heart…
war%20zone,,Upgraded Israeli Iron Dome defense system swats down 100 percent of targets in tests: https://t.co/c4xWtOMc8w
emergency,Bharat,This idiot ws CM of UP. He is asking doc on emergency duty to leave ward so he cud do selective politics.He told doc u r j…
body%20bagging,,Meg da stallion body crazy plus Ari body . Bagg a 🐐 for bagging both of em
military,Sandomierz PL,We are prinitng Just Paint: How to Paint Your Military Model book. 📘 Stay tuned! https://t.co/o4aTGVcUVS https://t.co/opabEYZRvy
fatal,"London, England",The #EU continues its suicidal actions. This inflexible approach is likely fatal - but ‘principals’ Brexit latest:… https://t.co/t9xoVSYYLv
explosion,Kenol Makutano.,Two Belgian soldiers currently serving in #Mali were injured when their vehicle Dingo II (MPPV) drove over an Improvise…
suicide%20bomb,"Brooklyn, NY",Schumer Renews Call For Suicide Bomb Detectors At Penn Station https://t.co/CY3ITTJFhg https://t.co/plfqz6vxLK
flames,España,RT IncendiosES: Australia 🇦🇺 fires: What's being done to fight the flames? https://t.co/4jE4xzYQSL… https://t.co/tptZ8mgH23
wrecked,"Capon Bridge, WV,","Democratic propaganda wrecked Libya, Obama just helped the stupid peasants win."
displaced,"North Africa,West/Central Asia",.’s report “Displaced Nation” takes our # 2 spot. The report on #SouthSudan addresses what needs to be don…
bloody,,Bloody bcci They sold rights of even highlights
evacuation,,"Hi! We're accepting donations for the victims of Taal eruption. Preferably canned goods, water and clothes. All c… https://t.co/rRuxfTPIYB"
bombing,"Brunswick, Melbourne",I was gonna pick that. Juanita is my favourite track. 👐 Barbara Barbar… https://t.co/cMkzqepHPh
oil%20spill,City in PNW,It’s like you all try to one-up each other’s stupid. You don’t just run… https://t.co/5C2MIDkwJl
ruin,Wonderland,Might ruin this for you 🤔
sirens,mind your business,Mid-Air Thief - Curmbling Earl Sweatshirt - Some Rap Songs Hinds - I Don't Run Daughters - You Won't Ge… https://t.co/GP22pUsuif
arsonist,NSW. Gumbaynggirr country.,The arsonist turns up with a fire extinguisher. https://t.co/WRpE2YRLue
demolished,Observation drone,"How many illegal buildings should be demolished in our city. In the Guadalajara of Enrique Alfaro, the mitigation… https://t.co/Wx8RhTIzmZ"
injury,,"On January 14, 2020 at about 09:43 AM PCpl Cheryl L Salem PCAD PNCO of GMPS conducted Agency Visitation and dialogu… https://t.co/1Wwpw254Uc"
derail,near da Burgh,Design of AR-15 could derail charges tied to popular rifle (from ) ⁦⁩ is more worried about the mighty $$… https://t.co/gK5UtekDm0
destruction,,"Alec Baldwin blasts Trump supporters, saying they've caused 'colossal destruction' to America https://t.co/TU5ObMCjpp #FoxNews"
fatal,Italia,Fatal shootings by police in 2018: 🇮🇸-0 🇫🇮-3 🇸🇪-6 🇫🇷-26 🇨🇦-36 🇺🇸-992 Imagine: Walter Scott—and so many others—would be al…
hailstorm,"East New York, Brooklyn",is GYAABIJ and I'm no longer this internet friend. Goodnight
smoke,,Smoke or go to bed?
threat,,In today's I write about the threat #FacialRecognition poses to dissent against the state. https://t.co/…
